No.,Name,Atomic,Actual Neutrons,Predicted Neutrons,Round to Nearest,Round Down
1,H,1,0,0,82,1,0
2,He,2,2,1,80,2,1
3,Li,3,4,2,85,3,2
4,Be,4,5,3,94,4,3
5,B,5,6,5,08,5,5
6,C,6,6,6,24,6,6
7,N,7,7,7,43,7,7
8,O,8,8,8,64,9,8
9,F,9,10,9,87,10,9
10,Ne,10,10,11,11,11,11
11,Na,11,12,12,38,12,12
12,Mg,12,12,13,66,14,13
13,Al,13,14,14,95,15,14
14,Si,14,14,16,26,16,16
15,P,15,16,17,58,18,17
16,S,16,16,18,91,19,18
17,Cl,17,17,20,25,20,20
18,Ar,18,22,21,61,22,21
19,K,19,20,22,97,23,22
20,Ca,20,20,24,34,24,24
21,Sc,21,24,25,72,26,25
22,Ti,22,26,27,11,27,27
23,V,23,28,28,51,29,28
24,Cr,24,28,29,91,30,29
25,Mn,25,30,31,33,31,31
26,Fe,26,30,32,75,33,32
27,Co,27,32,34,18,34,34
28,Ni,28,31,35,61,36,35
29,Cu,29,35,37,05,37,37
30,Zn,30,35,38,50,39,38
31,Ga,31,39,39,96,40,39
32,Ge,32,41,41,42,41,41
33,As,33,42,42,88,43,42
34,Se,34,45,44,36,44,44
35,Br,35,45,45,83,46,45
36,Kr,36,48,47,32,47,47
37,Rb,37,48,48,81,49,48
38,Sr,38,50,50,30,50,50
39,Y,39,50,51,80,52,51
40,Zr,40,51,53,31,53,53
41,Nb,41,52,54,82,55,54
42,Mo,42,54,56,33,56,56
43,Tc,43,55,57,85,58,57
44,Ru,44,57,59,37,59,59
45,Rh,45,58,60,90,61,60
46,Pd,46,60,62,43,62,62
47,Ag,47,61,63,97,64,63
48,Cd,48,64,65,51,66,65
49,In,49,66,67,06,67,67
50,Sn,50,69,68,61,69,68
51,Sb,51,71,70,16,70,70
52,Te,52,76,71,72,72,71
53,I,53,74,73,28,73,73
54,Xe,54,77,74,85,75,74
55,Cs,55,78,76,42,76,76
56,Ba,56,81,77,99,78,77
57,La,57,82,79,57,80,79
58,Ce,58,82,81,15,81,81
59,Pr,59,82,82,73,83,82
60,Nd,60,84,84,32,84,84
61,Pm,61,84,85,91,86,85
62,Sm,62,88,87,51,88,87
63,Eu,63,89,89,10,89,89
64,Gd,64,93,90,70,91,90
65,Tb,65,94,92,31,92,92
66,Dy,66,97,93,92,94,93
67,Ho,67,98,95,53,96,95
68,Er,68,99,97,14,97,97
69,Tm,69,100,98,76,99,98
70,Yb,70,103,100,38,100,100
71,Lu,71,104,102,00,102,102
72,Hf,72,106,103,63,104,103
73,Ta,73,108,105,26,105,105
74,W,74,110,106,89,107,106
75,Re,75,111,108,52,109,108
76,Os,76,114,110,16,110,110
77,Ir,77,115,111,80,112,111
78,Pt,78,117,113,45,113,113
79,Au,79,118,115,09,115,115
80,Hg,80,121,116,74,117,116
81,Tl,81,123,118,39,118,118
82,Pb,82,125,120,05,120,120
83,Bi,83,126,121,70,122,121
84,Po,84,125,123,36,123,123
85,At,85,125,125,03,125,125
86,Rn,86,136,126,69,127,126
87,Fr,87,136,128,36,128,128
88,Ra,88,138,130,03,130,130
89,Ac,89,138,131,70,132,131
90,Th,90,142,133,38,133,133
91,Pa,91,148,135,05,135,135
92,U,92,146,136,73,137,136
93,Np,93,144,138,41,138,138
94,Pu,94,150,140,10,140,140
95,Am,95,148,141,79,142,141
96,Cm,96,151,143,47,143,143
97,Bk,97,150,145,17,145,145
98,Cf,98,153,146,86,147,146
99,Es,99,153,148,56,149,148
100,Fm,100,157,150,25,150,150
